Dataset,Run,Cohort,Subject,Condition,TimePoint,BioReplicate,Experiment,Batch,Channel,Fraction,Species,Disease,Tissue,Enzyme,Notes
MSV000096122,ScltlMsclSet10BRPhsFr22.mzML,ScltlMscl,,,,ScltlMscl,Set10,BRPhs,,Fr22,,,,,
MSV000096122,ScltlMsclSet10BRPhsFr23.mzML,ScltlMscl,,,,ScltlMscl,Set10,BRPhs,,Fr23,,,,,
MSV000096122,ScltlMsclSet10BRPhsFr24.mzML,ScltlMscl,,,,ScltlMscl,Set10,BRPhs,,Fr24,,,,,
MSV000096122,ScltlMsclSet10BRPhsFr25.mzML,ScltlMscl,,,,ScltlMscl,Set10,BRPhs,,Fr25,,,,,
MSV000096122,ScltlMsclSet10BRPhsFr26.mzML,ScltlMscl,,,,ScltlMscl,Set10,BRPhs,,Fr26,,,,,
MSV000096122,ScltlMsclSet10BRPhsFr27.mzML,ScltlMscl,,,,ScltlMscl,Set10,BRPhs,,Fr27,,,,,
MSV000096122,ScltlMsclSet10BRPhsFr28.mzML,ScltlMscl,,,,ScltlMscl,Set10,BRPhs,,Fr28,,,,,
MSV000096122,ScltlMsclSet10BRPhsFr29.mzML,ScltlMscl,,,,ScltlMscl,Set10,BRPhs,,Fr29,,,,,
MSV000096122,ScltlMsclSet10BRPhsFr3.mzML,ScltlMscl,,,,ScltlMscl,Set10,BRPhs,,Fr3,,,,,
MSV000096122,ScltlMsclSet10BRPhsFr30.mzML,ScltlMscl,,,,ScltlMscl,Set10,BRPhs,,Fr30,,,,,
MSV000096122,ScltlMsclSet10BRPhsFr31.mzML,ScltlMscl,,,,ScltlMscl,Set10,BRPhs,,Fr31,,,,,
MSV000096122,ScltlMsclSet10BRPhsFr32.mzML,ScltlMscl,,,,ScltlMscl,Set10,BRPhs,,Fr32,,,,,
MSV000096122,ScltlMsclSet10BRPhsFr33.mzML,ScltlMscl,,,,ScltlMscl,Set10,BRPhs,,Fr33,,,,,
MSV000096122,ScltlMsclSet10BRPhsFr4.mzML,ScltlMscl,,,,ScltlMscl,Set10,BRPhs,,Fr4,,,,,
MSV000096122,ScltlMsclSet10BRPhsFr5.mzML,ScltlMscl,,,,ScltlMscl,Set10,BRPhs,,Fr5,,,,,
MSV000096122,ScltlMsclSet10BRPhsFr6.mzML,ScltlMscl,,,,ScltlMscl,Set10,BRPhs,,Fr6,,,,,
MSV000096122,ScltlMsclSet10BRPhsFr7.mzML,ScltlMscl,,,,ScltlMscl,Set10,BRPhs,,Fr7,,,,,
MSV000096122,ScltlMsclSet10BRPhsFr8.mzML,ScltlMscl,,,,ScltlMscl,Set10,BRPhs,,Fr8,,,,,
MSV000096122,ScltlMsclSet10BRPhsFr9.mzML,ScltlMscl,,,,ScltlMscl,Set10,BRPhs,,Fr9,,,,,
MSV000096122,ScltlMsclSet11BRPhsFr1.mzML,ScltlMscl,,,,ScltlMscl,Set11,BRPhs,,Fr1,,,,,
MSV000096122,ScltlMsclSet11BRPhsFr10.mzML,ScltlMscl,,,,ScltlMscl,Set11,BRPhs,,Fr10,,,,,
MSV000096122,ScltlMsclSet11BRPhsFr11.mzML,ScltlMscl,,,,ScltlMscl,Set11,BRPhs,,Fr11,,,,,
MSV000096122,ScltlMsclSet11BRPhsFr12.mzML,ScltlMscl,,,,ScltlMscl,Set11,BRPhs,,Fr12,,,,,
MSV000096122,ScltlMsclSet11BRPhsFr13.mzML,ScltlMscl,,,,ScltlMscl,Set11,BRPhs,,Fr13,,,,,
MSV000096122,ScltlMsclSet11BRPhsFr14.mzML,ScltlMscl,,,,ScltlMscl,Set11,BRPhs,,Fr14,,,,,
MSV000096122,ScltlMsclSet11BRPhsFr15.mzML,ScltlMscl,,,,ScltlMscl,Set11,BRPhs,,Fr15,,,,,
MSV000096122,ScltlMsclSet11BRPhsFr16.mzML,ScltlMscl,,,,ScltlMscl,Set11,BRPhs,,Fr16,,,,,
MSV000096122,ScltlMsclSet11BRPhsFr17.mzML,ScltlMscl,,,,ScltlMscl,Set11,BRPhs,,Fr17,,,,,
MSV000096122,ScltlMsclSet11BRPhsFr18.mzML,ScltlMscl,,,,ScltlMscl,Set11,BRPhs,,Fr18,,,,,
MSV000096122,ScltlMsclSet11BRPhsFr19.mzML,ScltlMscl,,,,ScltlMscl,Set11,BRPhs,,Fr19,,,,,
MSV000096122,ScltlMsclSet11BRPhsFr2.mzML,ScltlMscl,,,,ScltlMscl,Set11,BRPhs,,Fr2,,,,,
MSV000096122,ScltlMsclSet11BRPhsFr20.mzML,ScltlMscl,,,,ScltlMscl,Set11,BRPhs,,Fr20,,,,,
MSV000096122,ScltlMsclSet11BRPhsFr21.mzML,ScltlMscl,,,,ScltlMscl,Set11,BRPhs,,Fr21,,,,,
MSV000096122,ScltlMsclSet11BRPhsFr22.mzML,ScltlMscl,,,,ScltlMscl,Set11,BRPhs,,Fr22,,,,,
MSV000096122,ScltlMsclSet11BRPhsFr23.mzML,ScltlMscl,,,,ScltlMscl,Set11,BRPhs,,Fr23,,,,,
MSV000096122,ScltlMsclSet11BRPhsFr24.mzML,ScltlMscl,,,,ScltlMscl,Set11,BRPhs,,Fr24,,,,,
MSV000096122,ScltlMsclSet11BRPhsFr25.mzML,ScltlMscl,,,,ScltlMscl,Set11,BRPhs,,Fr25,,,,,
MSV000096122,ScltlMsclSet11BRPhsFr26.mzML,ScltlMscl,,,,ScltlMscl,Set11,BRPhs,,Fr26,,,,,
MSV000096122,ScltlMsclSet11BRPhsFr27.mzML,ScltlMscl,,,,ScltlMscl,Set11,BRPhs,,Fr27,,,,,
MSV000096122,ScltlMsclSet11BRPhsFr28.mzML,ScltlMscl,,,,ScltlMscl,Set11,BRPhs,,Fr28,,,,,
MSV000096122,ScltlMsclSet11BRPhsFr29.mzML,ScltlMscl,,,,ScltlMscl,Set11,BRPhs,,Fr29,,,,,
MSV000096122,ScltlMsclSet11BRPhsFr3.mzML,ScltlMscl,,,,ScltlMscl,Set11,BRPhs,,Fr3,,,,,
MSV000096122,ScltlMsclSet11BRPhsFr30.mzML,ScltlMscl,,,,ScltlMscl,Set11,BRPhs,,Fr30,,,,,
MSV000096122,ScltlMsclSet11BRPhsFr31.mzML,ScltlMscl,,,,ScltlMscl,Set11,BRPhs,,Fr31,,,,,
MSV000096122,ScltlMsclSet11BRPhsFr32.mzML,ScltlMscl,,,,ScltlMscl,Set11,BRPhs,,Fr32,,,,,
MSV000096122,ScltlMsclSet11BRPhsFr33.mzML,ScltlMscl,,,,ScltlMscl,Set11,BRPhs,,Fr33,,,,,
MSV000096122,ScltlMsclSet11BRPhsFr4.mzML,ScltlMscl,,,,ScltlMscl,Set11,BRPhs,,Fr4,,,,,
MSV000096122,ScltlMsclSet11BRPhsFr5.mzML,ScltlMscl,,,,ScltlMscl,Set11,BRPhs,,Fr5,,,,,
MSV000096122,ScltlMsclSet11BRPhsFr6.mzML,ScltlMscl,,,,ScltlMscl,Set11,BRPhs,,Fr6,,,,,
MSV000096122,ScltlMsclSet11BRPhsFr7.mzML,ScltlMscl,,,,ScltlMscl,Set11,BRPhs,,Fr7,,,,,
MSV000096122,ScltlMsclSet11BRPhsFr8.mzML,ScltlMscl,,,,ScltlMscl,Set11,BRPhs,,Fr8,,,,,
MSV000096122,ScltlMsclSet11BRPhsFr9.mzML,ScltlMscl,,,,ScltlMscl,Set11,BRPhs,,Fr9,,,,,
MSV000096122,ScltlMsclSet12BRPhsFr1.mzML,ScltlMscl,,,,ScltlMscl,Set12,BRPhs,,Fr1,,,,,
MSV000096122,ScltlMsclSet12BRPhsFr10.mzML,ScltlMscl,,,,ScltlMscl,Set12,BRPhs,,Fr10,,,,,
MSV000096122,ScltlMsclSet12BRPhsFr11.mzML,ScltlMscl,,,,ScltlMscl,Set12,BRPhs,,Fr11,,,,,
MSV000096122,ScltlMsclSet12BRPhsFr12.mzML,ScltlMscl,,,,ScltlMscl,Set12,BRPhs,,Fr12,,,,,
MSV000096122,ScltlMsclSet12BRPhsFr13.mzML,ScltlMscl,,,,ScltlMscl,Set12,BRPhs,,Fr13,,,,,
MSV000096122,ScltlMsclSet12BRPhsFr14.mzML,ScltlMscl,,,,ScltlMscl,Set12,BRPhs,,Fr14,,,,,
MSV000096122,ScltlMsclSet12BRPhsFr15.mzML,ScltlMscl,,,,ScltlMscl,Set12,BRPhs,,Fr15,,,,,
MSV000096122,ScltlMsclSet12BRPhsFr16.mzML,ScltlMscl,,,,ScltlMscl,Set12,BRPhs,,Fr16,,,,,
MSV000096122,ScltlMsclSet12BRPhsFr17.mzML,ScltlMscl,,,,ScltlMscl,Set12,BRPhs,,Fr17,,,,,
MSV000096122,ScltlMsclSet12BRPhsFr18.mzML,ScltlMscl,,,,ScltlMscl,Set12,BRPhs,,Fr18,,,,,
MSV000096122,ScltlMsclSet12BRPhsFr19.mzML,ScltlMscl,,,,ScltlMscl,Set12,BRPhs,,Fr19,,,,,
MSV000096122,ScltlMsclSet12BRPhsFr2.mzML,ScltlMscl,,,,ScltlMscl,Set12,BRPhs,,Fr2,,,,,
MSV000096122,ScltlMsclSet12BRPhsFr20.mzML,ScltlMscl,,,,ScltlMscl,Set12,BRPhs,,Fr20,,,,,
MSV000096122,ScltlMsclSet12BRPhsFr21.mzML,ScltlMscl,,,,ScltlMscl,Set12,BRPhs,,Fr21,,,,,
MSV000096122,ScltlMsclSet12BRPhsFr22.mzML,ScltlMscl,,,,ScltlMscl,Set12,BRPhs,,Fr22,,,,,
MSV000096122,ScltlMsclSet12BRPhsFr23.mzML,ScltlMscl,,,,ScltlMscl,Set12,BRPhs,,Fr23,,,,,
MSV000096122,ScltlMsclSet12BRPhsFr24.mzML,ScltlMscl,,,,ScltlMscl,Set12,BRPhs,,Fr24,,,,,
MSV000096122,ScltlMsclSet12BRPhsFr25.mzML,ScltlMscl,,,,ScltlMscl,Set12,BRPhs,,Fr25,,,,,
MSV000096122,ScltlMsclSet12BRPhsFr26.mzML,ScltlMscl,,,,ScltlMscl,Set12,BRPhs,,Fr26,,,,,
MSV000096122,ScltlMsclSet12BRPhsFr27.mzML,ScltlMscl,,,,ScltlMscl,Set12,BRPhs,,Fr27,,,,,
MSV000096122,ScltlMsclSet12BRPhsFr28.mzML,ScltlMscl,,,,ScltlMscl,Set12,BRPhs,,Fr28,,,,,
MSV000096122,ScltlMsclSet12BRPhsFr29.mzML,ScltlMscl,,,,ScltlMscl,Set12,BRPhs,,Fr29,,,,,
MSV000096122,ScltlMsclSet12BRPhsFr3.mzML,ScltlMscl,,,,ScltlMscl,Set12,BRPhs,,Fr3,,,,,
MSV000096122,ScltlMsclSet12BRPhsFr30.mzML,ScltlMscl,,,,ScltlMscl,Set12,BRPhs,,Fr30,,,,,
MSV000096122,ScltlMsclSet12BRPhsFr31.mzML,ScltlMscl,,,,ScltlMscl,Set12,BRPhs,,Fr31,,,,,
MSV000096122,ScltlMsclSet12BRPhsFr32.mzML,ScltlMscl,,,,ScltlMscl,Set12,BRPhs,,Fr32,,,,,
MSV000096122,ScltlMsclSet12BRPhsFr33.mzML,ScltlMscl,,,,ScltlMscl,Set12,BRPhs,,Fr33,,,,,
MSV000096122,ScltlMsclSet12BRPhsFr4.mzML,ScltlMscl,,,,ScltlMscl,Set12,BRPhs,,Fr4,,,,,
MSV000096122,ScltlMsclSet12BRPhsFr5.mzML,ScltlMscl,,,,ScltlMscl,Set12,BRPhs,,Fr5,,,,,
MSV000096122,ScltlMsclSet12BRPhsFr6.mzML,ScltlMscl,,,,ScltlMscl,Set12,BRPhs,,Fr6,,,,,
MSV000096122,ScltlMsclSet12BRPhsFr7.mzML,ScltlMscl,,,,ScltlMscl,Set12,BRPhs,,Fr7,,,,,
MSV000096122,ScltlMsclSet12BRPhsFr8.mzML,ScltlMscl,,,,ScltlMscl,Set12,BRPhs,,Fr8,,,,,
MSV000096122,ScltlMsclSet12BRPhsFr9.mzML,ScltlMscl,,,,ScltlMscl,Set12,BRPhs,,Fr9,,,,,
MSV000096122,ScltlMsclSet1BRPhsFr1.mzML,ScltlMscl,,,,ScltlMscl,Set1,BRPhs,,Fr1,,,,,
MSV000096122,ScltlMsclSet1BRPhsFr10.mzML,ScltlMscl,,,,ScltlMscl,Set1,BRPhs,,Fr10,,,,,
MSV000096122,ScltlMsclSet1BRPhsFr11.mzML,ScltlMscl,,,,ScltlMscl,Set1,BRPhs,,Fr11,,,,,
MSV000096122,ScltlMsclSet1BRPhsFr12.mzML,ScltlMscl,,,,ScltlMscl,Set1,BRPhs,,Fr12,,,,,
MSV000096122,ScltlMsclSet1BRPhsFr13.mzML,ScltlMscl,,,,ScltlMscl,Set1,BRPhs,,Fr13,,,,,
MSV000096122,ScltlMsclSet1BRPhsFr14.mzML,ScltlMscl,,,,ScltlMscl,Set1,BRPhs,,Fr14,,,,,
MSV000096122,ScltlMsclSet1BRPhsFr15.mzML,ScltlMscl,,,,ScltlMscl,Set1,BRPhs,,Fr15,,,,,
MSV000096122,ScltlMsclSet1BRPhsFr16.mzML,ScltlMscl,,,,ScltlMscl,Set1,BRPhs,,Fr16,,,,,
MSV000096122,ScltlMsclSet1BRPhsFr17.mzML,ScltlMscl,,,,ScltlMscl,Set1,BRPhs,,Fr17,,,,,
MSV000096122,ScltlMsclSet1BRPhsFr18.mzML,ScltlMscl,,,,ScltlMscl,Set1,BRPhs,,Fr18,,,,,
MSV000096122,ScltlMsclSet1BRPhsFr19.mzML,ScltlMscl,,,,ScltlMscl,Set1,BRPhs,,Fr19,,,,,
MSV000096122,ScltlMsclSet1BRPhsFr2.mzML,ScltlMscl,,,,ScltlMscl,Set1,BRPhs,,Fr2,,,,,
MSV000096122,ScltlMsclSet1BRPhsFr20.mzML,ScltlMscl,,,,ScltlMscl,Set1,BRPhs,,Fr20,,,,,
MSV000096122,ScltlMsclSet1BRPhsFr21.mzML,ScltlMscl,,,,ScltlMscl,Set1,BRPhs,,Fr21,,,,,
MSV000096122,ScltlMsclSet1BRPhsFr22.mzML,ScltlMscl,,,,ScltlMscl,Set1,BRPhs,,Fr22,,,,,
MSV000096122,ScltlMsclSet1BRPhsFr23.mzML,ScltlMscl,,,,ScltlMscl,Set1,BRPhs,,Fr23,,,,,
MSV000096122,ScltlMsclSet1BRPhsFr24.mzML,ScltlMscl,,,,ScltlMscl,Set1,BRPhs,,Fr24,,,,,
MSV000096122,ScltlMsclSet1BRPhsFr25.mzML,ScltlMscl,,,,ScltlMscl,Set1,BRPhs,,Fr25,,,,,
MSV000096122,ScltlMsclSet1BRPhsFr26.mzML,ScltlMscl,,,,ScltlMscl,Set1,BRPhs,,Fr26,,,,,
MSV000096122,ScltlMsclSet1BRPhsFr3.mzML,ScltlMscl,,,,ScltlMscl,Set1,BRPhs,,Fr3,,,,,
MSV000096122,ScltlMsclSet1BRPhsFr4.mzML,ScltlMscl,,,,ScltlMscl,Set1,BRPhs,,Fr4,,,,,
MSV000096122,ScltlMsclSet1BRPhsFr5.mzML,ScltlMscl,,,,ScltlMscl,Set1,BRPhs,,Fr5,,,,,
MSV000096122,ScltlMsclSet1BRPhsFr6.mzML,ScltlMscl,,,,ScltlMscl,Set1,BRPhs,,Fr6,,,,,
MSV000096122,ScltlMsclSet1BRPhsFr7.mzML,ScltlMscl,,,,ScltlMscl,Set1,BRPhs,,Fr7,,,,,
MSV000096122,ScltlMsclSet1BRPhsFr8.mzML,ScltlMscl,,,,ScltlMscl,Set1,BRPhs,,Fr8,,,,,
MSV000096122,ScltlMsclSet1BRPhsFr9.mzML,ScltlMscl,,,,ScltlMscl,Set1,BRPhs,,Fr9,,,,,
MSV000096122,ScltlMsclSet2BRPhsFr1.mzML,ScltlMscl,,,,ScltlMscl,Set2,BRPhs,,Fr1,,,,,
MSV000096122,ScltlMsclSet2BRPhsFr10.mzML,ScltlMscl,,,,ScltlMscl,Set2,BRPhs,,Fr10,,,,,
MSV000096122,ScltlMsclSet2BRPhsFr11.mzML,ScltlMscl,,,,ScltlMscl,Set2,BRPhs,,Fr11,,,,,
MSV000096122,ScltlMsclSet2BRPhsFr12.mzML,ScltlMscl,,,,ScltlMscl,Set2,BRPhs,,Fr12,,,,,
MSV000096122,ScltlMsclSet2BRPhsFr13.mzML,ScltlMscl,,,,ScltlMscl,Set2,BRPhs,,Fr13,,,,,
MSV000096122,ScltlMsclSet2BRPhsFr14.mzML,ScltlMscl,,,,ScltlMscl,Set2,BRPhs,,Fr14,,,,,
MSV000096122,ScltlMsclSet2BRPhsFr15.mzML,ScltlMscl,,,,ScltlMscl,Set2,BRPhs,,Fr15,,,,,
MSV000096122,ScltlMsclSet2BRPhsFr16.mzML,ScltlMscl,,,,ScltlMscl,Set2,BRPhs,,Fr16,,,,,
MSV000096122,ScltlMsclSet2BRPhsFr17.mzML,ScltlMscl,,,,ScltlMscl,Set2,BRPhs,,Fr17,,,,,
MSV000096122,ScltlMsclSet2BRPhsFr18.mzML,ScltlMscl,,,,ScltlMscl,Set2,BRPhs,,Fr18,,,,,
MSV000096122,ScltlMsclSet2BRPhsFr19.mzML,ScltlMscl,,,,ScltlMscl,Set2,BRPhs,,Fr19,,,,,
MSV000096122,ScltlMsclSet2BRPhsFr2.mzML,ScltlMscl,,,,ScltlMscl,Set2,BRPhs,,Fr2,,,,,
MSV000096122,ScltlMsclSet2BRPhsFr20.mzML,ScltlMscl,,,,ScltlMscl,Set2,BRPhs,,Fr20,,,,,
MSV000096122,ScltlMsclSet2BRPhsFr21.mzML,ScltlMscl,,,,ScltlMscl,Set2,BRPhs,,Fr21,,,,,
MSV000096122,ScltlMsclSet2BRPhsFr22.mzML,ScltlMscl,,,,ScltlMscl,Set2,BRPhs,,Fr22,,,,,
MSV000096122,ScltlMsclSet2BRPhsFr23.mzML,ScltlMscl,,,,ScltlMscl,Set2,BRPhs,,Fr23,,,,,
MSV000096122,ScltlMsclSet2BRPhsFr24.mzML,ScltlMscl,,,,ScltlMscl,Set2,BRPhs,,Fr24,,,,,
MSV000096122,ScltlMsclSet2BRPhsFr25.mzML,ScltlMscl,,,,ScltlMscl,Set2,BRPhs,,Fr25,,,,,
MSV000096122,ScltlMsclSet2BRPhsFr26.mzML,ScltlMscl,,,,ScltlMscl,Set2,BRPhs,,Fr26,,,,,
MSV000096122,ScltlMsclSet2BRPhsFr27.mzML,ScltlMscl,,,,ScltlMscl,Set2,BRPhs,,Fr27,,,,,
MSV000096122,ScltlMsclSet2BRPhsFr28.mzML,ScltlMscl,,,,ScltlMscl,Set2,BRPhs,,Fr28,,,,,
MSV000096122,ScltlMsclSet2BRPhsFr29.mzML,ScltlMscl,,,,ScltlMscl,Set2,BRPhs,,Fr29,,,,,
MSV000096122,ScltlMsclSet2BRPhsFr3.mzML,ScltlMscl,,,,ScltlMscl,Set2,BRPhs,,Fr3,,,,,
MSV000096122,ScltlMsclSet2BRPhsFr30.mzML,ScltlMscl,,,,ScltlMscl,Set2,BRPhs,,Fr30,,,,,
MSV000096122,ScltlMsclSet2BRPhsFr31.mzML,ScltlMscl,,,,ScltlMscl,Set2,BRPhs,,Fr31,,,,,
MSV000096122,ScltlMsclSet2BRPhsFr32.mzML,ScltlMscl,,,,ScltlMscl,Set2,BRPhs,,Fr32,,,,,
MSV000096122,ScltlMsclSet2BRPhsFr33.mzML,ScltlMscl,,,,ScltlMscl,Set2,BRPhs,,Fr33,,,,,
MSV000096122,ScltlMsclSet2BRPhsFr4.mzML,ScltlMscl,,,,ScltlMscl,Set2,BRPhs,,Fr4,,,,,
MSV000096122,ScltlMsclSet2BRPhsFr5.mzML,ScltlMscl,,,,ScltlMscl,Set2,BRPhs,,Fr5,,,,,
MSV000096122,ScltlMsclSet2BRPhsFr6.mzML,ScltlMscl,,,,ScltlMscl,Set2,BRPhs,,Fr6,,,,,
MSV000096122,ScltlMsclSet2BRPhsFr7.mzML,ScltlMscl,,,,ScltlMscl,Set2,BRPhs,,Fr7,,,,,
MSV000096122,ScltlMsclSet2BRPhsFr8.mzML,ScltlMscl,,,,ScltlMscl,Set2,BRPhs,,Fr8,,,,,
MSV000096122,ScltlMsclSet2BRPhsFr9.mzML,ScltlMscl,,,,ScltlMscl,Set2,BRPhs,,Fr9,,,,,
MSV000096122,ScltlMsclSet3BRPhsFr1.mzML,ScltlMscl,,,,ScltlMscl,Set3,BRPhs,,Fr1,,,,,
MSV000096122,ScltlMsclSet3BRPhsFr10.mzML,ScltlMscl,,,,ScltlMscl,Set3,BRPhs,,Fr10,,,,,
MSV000096122,ScltlMsclSet3BRPhsFr11.mzML,ScltlMscl,,,,ScltlMscl,Set3,BRPhs,,Fr11,,,,,
MSV000096122,ScltlMsclSet3BRPhsFr12.mzML,ScltlMscl,,,,ScltlMscl,Set3,BRPhs,,Fr12,,,,,
MSV000096122,ScltlMsclSet3BRPhsFr13.mzML,ScltlMscl,,,,ScltlMscl,Set3,BRPhs,,Fr13,,,,,
MSV000096122,ScltlMsclSet3BRPhsFr14.mzML,ScltlMscl,,,,ScltlMscl,Set3,BRPhs,,Fr14,,,,,
MSV000096122,ScltlMsclSet3BRPhsFr15.mzML,ScltlMscl,,,,ScltlMscl,Set3,BRPhs,,Fr15,,,,,
MSV000096122,ScltlMsclSet3BRPhsFr16.mzML,ScltlMscl,,,,ScltlMscl,Set3,BRPhs,,Fr16,,,,,
MSV000096122,ScltlMsclSet3BRPhsFr17.mzML,ScltlMscl,,,,ScltlMscl,Set3,BRPhs,,Fr17,,,,,
MSV000096122,ScltlMsclSet3BRPhsFr18.mzML,ScltlMscl,,,,ScltlMscl,Set3,BRPhs,,Fr18,,,,,
MSV000096122,ScltlMsclSet3BRPhsFr19.mzML,ScltlMscl,,,,ScltlMscl,Set3,BRPhs,,Fr19,,,,,
MSV000096122,ScltlMsclSet3BRPhsFr2.mzML,ScltlMscl,,,,ScltlMscl,Set3,BRPhs,,Fr2,,,,,
MSV000096122,ScltlMsclSet3BRPhsFr20.mzML,ScltlMscl,,,,ScltlMscl,Set3,BRPhs,,Fr20,,,,,
MSV000096122,ScltlMsclSet3BRPhsFr21.mzML,ScltlMscl,,,,ScltlMscl,Set3,BRPhs,,Fr21,,,,,
MSV000096122,ScltlMsclSet3BRPhsFr22.mzML,ScltlMscl,,,,ScltlMscl,Set3,BRPhs,,Fr22,,,,,
MSV000096122,ScltlMsclSet3BRPhsFr23.mzML,ScltlMscl,,,,ScltlMscl,Set3,BRPhs,,Fr23,,,,,
MSV000096122,ScltlMsclSet3BRPhsFr24.mzML,ScltlMscl,,,,ScltlMscl,Set3,BRPhs,,Fr24,,,,,
MSV000096122,ScltlMsclSet3BRPhsFr25.mzML,ScltlMscl,,,,ScltlMscl,Set3,BRPhs,,Fr25,,,,,
MSV000096122,ScltlMsclSet3BRPhsFr26.mzML,ScltlMscl,,,,ScltlMscl,Set3,BRPhs,,Fr26,,,,,
MSV000096122,ScltlMsclSet3BRPhsFr27.mzML,ScltlMscl,,,,ScltlMscl,Set3,BRPhs,,Fr27,,,,,
MSV000096122,ScltlMsclSet3BRPhsFr28.mzML,ScltlMscl,,,,ScltlMscl,Set3,BRPhs,,Fr28,,,,,
MSV000096122,ScltlMsclSet3BRPhsFr29.mzML,ScltlMscl,,,,ScltlMscl,Set3,BRPhs,,Fr29,,,,,
MSV000096122,ScltlMsclSet3BRPhsFr3.mzML,ScltlMscl,,,,ScltlMscl,Set3,BRPhs,,Fr3,,,,,
MSV000096122,ScltlMsclSet3BRPhsFr30.mzML,ScltlMscl,,,,ScltlMscl,Set3,BRPhs,,Fr30,,,,,
MSV000096122,ScltlMsclSet3BRPhsFr31.mzML,ScltlMscl,,,,ScltlMscl,Set3,BRPhs,,Fr31,,,,,
MSV000096122,ScltlMsclSet3BRPhsFr32.mzML,ScltlMscl,,,,ScltlMscl,Set3,BRPhs,,Fr32,,,,,
MSV000096122,ScltlMsclSet3BRPhsFr33.mzML,ScltlMscl,,,,ScltlMscl,Set3,BRPhs,,Fr33,,,,,
MSV000096122,ScltlMsclSet3BRPhsFr4.mzML,ScltlMscl,,,,ScltlMscl,Set3,BRPhs,,Fr4,,,,,
MSV000096122,ScltlMsclSet3BRPhsFr5.mzML,ScltlMscl,,,,ScltlMscl,Set3,BRPhs,,Fr5,,,,,
MSV000096122,ScltlMsclSet3BRPhsFr6.mzML,ScltlMscl,,,,ScltlMscl,Set3,BRPhs,,Fr6,,,,,
MSV000096122,ScltlMsclSet3BRPhsFr7.mzML,ScltlMscl,,,,ScltlMscl,Set3,BRPhs,,Fr7,,,,,
MSV000096122,ScltlMsclSet3BRPhsFr8.mzML,ScltlMscl,,,,ScltlMscl,Set3,BRPhs,,Fr8,,,,,
MSV000096122,ScltlMsclSet3BRPhsFr9.mzML,ScltlMscl,,,,ScltlMscl,Set3,BRPhs,,Fr9,,,,,
MSV000096122,ScltlMsclSet4BRPhsFr1.mzML,ScltlMscl,,,,ScltlMscl,Set4,BRPhs,,Fr1,,,,,
MSV000096122,ScltlMsclSet4BRPhsFr10.mzML,ScltlMscl,,,,ScltlMscl,Set4,BRPhs,,Fr10,,,,,
MSV000096122,ScltlMsclSet4BRPhsFr11.mzML,ScltlMscl,,,,ScltlMscl,Set4,BRPhs,,Fr11,,,,,
MSV000096122,ScltlMsclSet4BRPhsFr12.mzML,ScltlMscl,,,,ScltlMscl,Set4,BRPhs,,Fr12,,,,,
MSV000096122,ScltlMsclSet4BRPhsFr13.mzML,ScltlMscl,,,,ScltlMscl,Set4,BRPhs,,Fr13,,,,,
MSV000096122,ScltlMsclSet4BRPhsFr14.mzML,ScltlMscl,,,,ScltlMscl,Set4,BRPhs,,Fr14,,,,,
